applicant_id,applicant_city,posid,year,aptdummy,female,black,juddummy,instatel,pubpvt,millerd,barnesd,perdued,deald,confirmed_atty_donor,political_donor,experience,sq_exp,gov_timely_donor,gov_nom_ideo_distance,n_times_applied_4_judgeships,number_applicants,median_lsat,gov_donor_amount,imputed_gov_nom_ideo_distance,bivariate_posid_missing,graph_aptdummy,model2_listwise,graph_aptdummym2,model3_listwise,graph_aptdummym3
1415,hawkinsville,10014,1992,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,28,784,0,.43917263,2,31,165,0,.43917263,,0,,0,,0
2145,atlanta,10014,1992,0,0,0,0,1,0,1,0,0,0,,0,15,225,0,,2,31,165,0,.27350399,,,,,,0
1169,atlanta,10014,1992,0,1,0,1,1,1,1,0,0,0,confirmed attorney,1,20,400,0,.77797174,6,31,165,0,.77797174,,0,,0,,0
980,atlanta,10014,1992,0,0,1,1,1,1,1,0,0,0,,0,22,484,0,,10,31,150,0,.27350399,,,,,,0
719,atlanta,10014,1992,0,0,0,1,0,1,1,0,0,0,,0,28,784,0,,4,31,169,0,.27350399,,,,,,0
2411,atlanta,10014,1992,0,1,0,0,0,1,1,0,0,0,confirmed attorney,1,16,256,0,.99594969,1,31,173,0,.99594969,,0,,0,,0
1171,decatur,10014,1992,1,1,0,1,0,1,1,0,0,0,confirmed attorney,1,17,289,0,.25169873,3,31,155,0,.25169873,,.22499999,,.2,,.2
769,atlanta,10014,1992,0,0,0,0,1,0,1,0,0,0,confirmed attorney,1,39,1521,0,.076721467,1,31,165,0,.076721467,,0,,0,,0
555,atlanta,10014,1992,0,1,1,1,1,1,1,0,0,0,,0,22,484,0,,11,31,165,0,.27350399,,,,,,0
1531,atlanta,10014,1992,0,1,0,0,1,1,1,0,0,0,,0,16,256,0,,9,31,165,0,.27350399,,,,,,0
2115,decatur,10014,1992,0,0,0,1,1,1,1,0,0,0,confirmed attorney,1,23,529,0,.60897768,5,31,165,0,.60897768,,0,,0,,0
840,decatur,10014,1992,0,0,0,1,1,1,1,0,0,0,,0,29,841,0,,2,31,165,0,.67528963,,,,,,0
1933,atlanta,10014,1992,0,0,0,1,1,0,1,0,0,0,confirmed attorney,1,40,1600,0,.1220377,14,31,165,0,.1220377,,0,,0,,0
242,jonesboro,10014,1992,0,0,0,1,1,0,1,0,0,0,,0,19,361,0,,4,31,165,0,.18019016,,,,,,0
1825,gainesville,10014,1992,0,0,0,0,0,0,1,0,0,0,,0,22,484,0,,1,31,160,0,.43951231,,,,,,0
10,marietta,10014,1992,0,0,0,1,1,1,1,0,0,0,,0,22,484,0,,4,31,155,0,.074481376,,,,,,0
891,jasper,10014,1992,0,1,0,1,1,1,1,0,0,0,,0,16,256,0,,5,31,165,0,.40988082,,,,,,0
